actualOpType,predOpType,rewards,opPredPerc,foundOpPredPerc,killedByOpPerc
NA,NA,-10.0001,0.338,NA,0
NA,NA,-10.0001,0.424,NA,0
NA,NA,-10.0001,0.464,NA,0
NA,NA,-10.0001,0.535,NA,0
NA,NA,-10.0001,0.582,NA,0
NA,NA,-10.0001,0.713,NA,0
NA,NA,-10.0001,0.714,NA,0
NA,NA,-10.0001,0.714,NA,0
NA,NA,-10.0001,0.713,NA,0
NA,NA,-10.0001,0.714,NA,0
NA,NA,-10.0001,0.715,NA,0
NA,NA,-10.0001,0.713,NA,0
NA,NA,-10.0001,0.715,NA,0
NA,NA,-10.0001,0.728,NA,0
NA,NA,-10.0001,0.785,NA,0
NA,NA,-10.0001,0.791,NA,0
NA,NA,-10.0001,0.858,NA,0
NA,NA,-10.0001,0.856,NA,0
NA,NA,-10.0001,0.858,NA,0
NA,NA,-10.0001,0.858,NA,0
NA,NA,-10.0001,0.923,NA,0
NA,NA,-10.0001,0.985,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-9.4201,1,NA,1
NA,NA,-8.99011,0.654,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-10.2301,1,NA,1
NA,NA,-8.99013,0.963,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-8.99012,0.794,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-4.1,1,NA,1
NA,NA,-10.0001,1,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-8.99013,0.875,NA,0
NA,NA,-8.99011,0.774,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-10.0001,1,NA,0
NA,NA,-2.86,1,NA,1
NA,NA,-10.2001,1,NA,1
NA,NA,-7.98009,0.668,NA,0
NA,NA,-6.34002,0.680191,NA,1
NA,NA,-8.99013,0.939,NA,0
NA,NA,-8.99012,0.826,NA,0
NA,NA,-2,0.861386,NA,1
NA,NA,-7.98009,0.71,NA,0
NA,NA,-4.95002,0.67,NA,0
NA,NA,-6.97009,0.71,NA,0
NA,NA,-1.6,1,NA,1
