actualOpType,predOpType,rewards,opPredPerc,foundOpPredPerc,killedByOpPerc
0,0,-8.99013,0.307,0.306122,0
1,0,-1.82,0.325301,0.30137,1
0,0,-2.29,0.323077,0.308333,1
0,0,-5.58001,0.352941,0.345212,1
0,0,-1.5,0.333333,0.268293,1
0,0,-5.49001,0.386667,0.393182,1
0,0,-3.66,0.378277,0.381323,1
0,0,-8.99013,0.398,0.393878,0
0,0,-4.27,0.445221,0.444988,1
1,0,-3.31,0.441441,0.434505,1
0,0,-8.99011,0.514,0.521429,0
1,0,-4.45,0.541387,0.543326,1
0,0,-9.79011,0.588636,0.595402,1
1,0,-2.99,0.625,0.626316,1
0,0,-1.48,0.612245,0.615385,1
1,0,-4.58,0.634581,0.630885,1
0,0,-2.04,0.571429,0.568421,1
1,0,-2.73,0.643678,0.652439,1
0,0,-1.69,0.671429,0.65,1
0,0,-2.87,0.680851,0.679775,1
0,0,-8.99013,0.678,0.678571,0
0,0,-4.05,0.696078,0.699324,1
1,0,-1.69,0.714286,0.716667,1
2,0,-4.33,0.698851,0.698795,1
0,0,-4.38,0.702065,0.705167,1
0,0,-2.29,0.730769,0.725,1
0,0,-8.99013,0.721,0.720408,0
0,0,-6.05002,0.717391,0.717742,1
0,0,-5.53001,0.777533,0.779279,1
1,0,-8.99011,0.767,0.767347,0
0,0,-10.0001,0.779,0.780808,0
0,0,-10.0001,0.786,0.785859,0
0,0,-10.0001,0.784,0.784849,0
1,0,-10.0001,0.787,0.786869,0
0,0,-8.99011,0.77,0.772449,0
0,0,-1.32,0.757576,0.826087,1
0,0,-2.17,0.779661,0.787037,1
1,0,-4.34,0.772936,0.776442,1
0,0,-5.4,0.769373,0.772031,1
0,0,-5.77001,0.784519,0.786325,1
0,0,-8.36007,0.77327,0.772616,1
1,0,-7.98013,0.762,0.761856,0
0,0,-2.75,0.784091,0.789157,1
0,0,-3.42,0.781893,0.785408,1
0,0,-8.99013,0.65,0.64898,0
0,0,-1.64,0.769231,0.781818,1
0,0,-10.0001,0.785,0.784849,0
1,0,-1.61,0.790323,0.788462,1
0,0,-9.7001,0.785304,0.785134,1
0,0,-7.98009,0.552,0.546392,0
0,0,-1.31,0.8125,0.772727,1
1,0,-2.05,0.773585,0.78125,1
0,0,-5.82002,0.784679,0.786469,1
1,0,-3.73002,0.571006,0.560372,0
0,0,-3.62,0.78327,0.786561,1
0,0,-8.99013,0.74,0.740816,0
1,0,-10.0001,0.785,0.785859,0
0,0,-1.47,0.791667,0.763158,1
