actualOpType,predOpType,rewards,opPredPerc,foundOpPredPerc,killedByOpPerc
0,0,-10.0001,0.301,0.30101,0
0,0,-10.0001,0.377,0.375758,0
0,0,-10.0001,0.422,0.421212,0
0,0,-10.0001,0.496,0.492929,0
0,0,-10.0001,0.548,0.545455,0
0,0,-10.0001,0.549,0.549495,0
0,0,-10.0001,0.58,0.580808,0
0,0,-10.0001,0.581,0.580808,0
0,0,-10.0001,0.581,0.580808,0
0,0,-10.0001,0.599,0.6,0
0,0,-10.0001,0.61,0.610101,0
0,0,-10.0001,0.615,0.615152,0
0,0,-10.0001,0.626,0.627273,0
0,0,-10.0001,0.652,0.652525,0
0,0,-10.0001,0.651,0.653535,0
0,0,-10.0001,0.649,0.648485,0
0,0,-10.0001,0.643,0.641414,0
0,0,-10.0001,0.667,0.665657,0
0,0,-10.0001,0.669,0.669697,0
0,0,-10.0001,0.682,0.681818,0
0,0,-10.0001,0.691,0.689899,0
0,0,-10.0001,0.704,0.70404,0
0,0,-10.0001,0.709,0.707071,0
0,0,-10.0001,0.726,0.724242,0
0,0,-10.0001,0.743,0.742424,0
0,0,-10.0001,0.763,0.763636,0
0,0,-10.0001,0.749,0.751515,0
0,0,-10.0001,0.776,0.778788,0
0,0,-10.0001,0.788,0.787879,0
0,0,-10.0001,0.784,0.786869,0
0,0,-10.0001,0.8,0.80202,0
0,0,-10.0001,0.818,0.820202,0
0,0,-10.0001,0.827,0.827273,0
0,0,-10.0001,0.817,0.816162,0
0,0,-10.0001,0.852,0.852525,0
0,0,-10.0001,0.835,0.834343,0
0,0,-10.0001,0.86,0.861616,0
0,0,-10.0001,0.849,0.849495,0
0,0,-10.0001,0.856,0.856566,0
0,0,-10.0001,0.856,0.856566,0
0,0,-10.0001,0.831,0.831313,0
0,0,-10.0001,0.872,0.870707,0
0,0,-10.0001,0.87,0.869697,0
0,0,-10.0001,0.855,0.854545,0
0,0,-10.0001,0.843,0.844444,0
0,0,-10.0001,0.865,0.865657,0
0,0,-10.0001,0.894,0.893939,0
0,0,-10.0001,0.866,0.866667,0
0,0,-10.0001,0.886,0.887879,0
0,0,-10.0001,0.897,0.89798,0
0,0,-10.0001,0.887,0.885859,0
0,0,-10.0001,0.849,0.848485,0
0,0,-10.0001,0.874,0.874747,0
0,0,-10.0001,0.892,0.892929,0
0,0,-10.0001,0.88,0.880808,0
0,0,-10.0001,0.884,0.882828,0
0,0,-10.0001,0.891,0.892929,0
0,0,-10.0001,0.882,0.882828,0
0,0,-10.0001,0.879,0.881818,0
0,0,-10.0001,0.88,0.880808,0
0,0,-10.0001,0.893,0.893939,0
0,0,-10.0001,0.883,0.884848,0
0,0,-10.0001,0.893,0.891919,0
0,0,-10.0001,0.879,0.877778,0
0,0,-10.0001,0.905,0.90404,0
0,0,-10.0001,0.885,0.885859,0
0,0,-10.0001,0.875,0.877778,0
0,0,-10.0001,0.891,0.890909,0
0,0,-10.0001,0.895,0.894949,0
0,0,-10.0001,0.884,0.884848,0
0,0,-10.0001,0.884,0.884848,0
0,0,-10.0001,0.879,0.878788,0
0,0,-10.0001,0.882,0.884848,0
0,0,-10.0001,0.89,0.891919,0
0,0,-10.0001,0.893,0.892929,0
0,0,-10.0001,0.896,0.89596,0
0,0,-10.0001,0.885,0.885859,0
0,0,-10.0001,0.896,0.89697,0
0,0,-10.0001,0.887,0.886869,0
0,0,-10.0001,0.908,0.909091,0
0,0,-10.0001,0.885,0.884848,0
0,0,-10.0001,0.898,0.89798,0
0,0,-10.0001,0.907,0.907071,0
0,0,-10.0001,0.894,0.893939,0
0,0,-10.0001,0.902,0.90303,0
0,0,-10.0001,0.909,0.910101,0
0,0,-10.0001,0.909,0.909091,0
0,0,-10.0001,0.913,0.914141,0
0,0,-10.0001,0.905,0.906061,0
0,0,-10.0001,0.912,0.913131,0
0,0,-10.0001,0.911,0.912121,0
0,0,-10.0001,0.911,0.912121,0
0,0,-10.0001,0.913,0.914141,0
0,0,-10.0001,0.905,0.907071,0
0,0,-10.0001,0.902,0.90202,0
0,0,-10.0001,0.901,0.90101,0
0,0,-10.0001,0.904,0.90404,0
0,0,-10.0001,0.907,0.907071,0
0,0,-10.0001,0.91,0.910101,0
0,0,-10.0001,0.901,0.90202,0
0,0,-10.0001,0.896,0.89697,0
0,0,-9.6301,0.91088,0.912178,1
0,0,-9.21009,0.586132,0.585825,1
1,0,-7.98009,0.681,0.679381,0
0,0,-8.99011,0.407,0.402041,0
1,0,-10.0001,0.901,0.90202,0
2,0,-10.0001,0.905,0.907071,0
0,0,-4.33,0.907186,0.910494,1
1,1,-3.26,0.295154,0.262673,1
0,0,-10.0001,0.311,0.30404,0
0,0,-10.0001,0.903,0.90303,0
0,0,-7.92006,0.518436,0.513295,1
0,1,-8.99013,0.851,0.857143,0
0,1,-8.99011,0.446,0.441837,0
0,0,-9.3301,0.911271,0.912621,1
0,0,-7.35005,0.910377,0.912141,1
1,1,-3.06,0.932367,0.93401,1
2,1,-5.17,0.892344,0.889706,1
0,0,-6.06002,0.514803,0.513605,1
1,1,-10.0001,0.91,0.911111,0
0,0,-7.56006,0.907154,0.907264,1
1,1,-2.47,0.905405,0.913043,1
0,0,-7.17005,0.904531,0.907895,1
0,0,-7.71006,0.479167,0.471299,1
0,0,-7.80006,0.528634,0.5231,1
0,0,-7.59007,0.69251,0.695007,1
0,0,-10.0001,0.904,0.905051,0
1,1,-10.0001,0.908,0.909091,0
0,0,-10.0001,0.536,0.533333,0
0,0,-10.0001,0.916,0.916162,0
0,0,-5.95002,0.91129,0.911523,1
0,0,-6.90004,0.932318,0.932874,1
0,1,-10.0001,0.912,0.913131,0
0,1,-10.0001,0.914,0.915152,0
0,0,-10.0001,0.924,0.924242,0
1,1,-10.0001,0.912,0.912121,0
0,0,-7.64006,0.906767,0.908397,1
0,0,-10.0001,0.933,0.932323,0
0,1,-10.0001,0.919,0.920202,0
0,0,-10.0001,0.553,0.552525,0
0,0,-8.99011,0.589,0.582653,0
0,0,-7.98011,0.511,0.506186,0
0,0,-10.0001,0.554,0.551515,0
0,0,-10.0001,0.582,0.579798,0
0,0,-10.0001,0.589,0.587879,0
0,0,-10.0001,0.599,0.594949,0
0,0,-10.0001,0.601,0.59798,0
0,0,-10.0001,0.612,0.611111,0
0,0,-10.0001,0.622,0.619192,0
0,1,-10.0001,0.643,0.640404,0
