actualOpType,predOpType,rewards,opPredPerc,foundOpPredPerc,killedByOpPerc
NA,NA,-10.0001,0.346,NA,0
NA,NA,-10.0001,0.382,NA,0
NA,NA,-1.49,0.34,NA,1
NA,NA,-10.0001,0.45,NA,0
NA,NA,-10.0001,0.513,NA,0
NA,NA,-8.99011,0.538,NA,0
NA,NA,-4.95,0.633838,NA,1
NA,NA,-8.99011,0.601,NA,0
NA,NA,-8.99012,0.691,NA,0
NA,NA,-8.10007,0.678571,NA,1
NA,NA,-10.0001,0.713,NA,0
NA,NA,-10.0001,0.746,NA,0
NA,NA,-10.0001,0.786,NA,0
NA,NA,-10.0001,0.786,NA,0
NA,NA,-1.85,0.790698,NA,1
NA,NA,-10.0001,0.787,NA,0
NA,NA,-5.69001,0.782979,NA,1
NA,NA,-10.0001,0.786,NA,0
NA,NA,-10.0001,0.786,NA,0
NA,NA,-8.99013,0.763,NA,0
NA,NA,-8.99013,0.742,NA,0
NA,NA,-10.0001,0.786,NA,0
NA,NA,-8.99013,0.735,NA,0
NA,NA,-10.0001,0.786,NA,0
NA,NA,-8.76008,0.710706,NA,1
NA,NA,-4.59003,0.847769,NA,0
NA,NA,-4.58,0.747826,NA,1
NA,NA,-8.99013,0.779,NA,0
NA,NA,-10.0001,0.787,NA,0
NA,NA,-6.39003,0.785185,NA,1
NA,NA,-6.44005,0.77709,NA,1
NA,NA,-5.79001,0.752151,NA,1
NA,NA,-8.99011,0.773,NA,0
NA,NA,-7.35006,0.78019,NA,1
NA,NA,-5.90002,0.777027,NA,1
NA,NA,-8.5401,0.781542,NA,1
NA,NA,-10.0001,0.785,NA,0
NA,NA,-2.39,0.785714,NA,1
NA,NA,-3.07,0.773463,NA,1
NA,NA,-8.99013,0.781,NA,0
NA,NA,-7.98009,0.886,NA,0
NA,NA,-2.63,0.804878,NA,1
NA,NA,-8.99013,0.785,NA,0
NA,NA,-3.4,0.777778,NA,1
NA,NA,-8.21009,0.781385,NA,1
NA,NA,-7.98011,0.839,NA,0
NA,NA,-7.98013,0.787,NA,0
NA,NA,-7.98013,0.857,NA,0
NA,NA,-2.29,0.840226,NA,0
NA,NA,-4.46,0.798271,NA,1
NA,NA,-8.99011,0.771,NA,0
NA,NA,-4.37,0.783599,NA,1
NA,NA,-8.99011,0.771,NA,0
NA,NA,-1.56,0.789474,NA,1
NA,NA,-7.98013,0.792,NA,0
NA,NA,-1.29,0.866667,NA,1
NA,NA,-3.24,0.788344,NA,1
NA,NA,-1.94,0.847082,NA,0
NA,NA,-4.4,0.803519,NA,1
NA,NA,-3.78001,0.842878,NA,0
NA,NA,-1.45,0.816327,NA,1
NA,NA,-7.98011,0.835,NA,0
NA,NA,-5.96002,0.784281,NA,1
NA,NA,-4.96004,0.906133,NA,0
NA,NA,-0.829997,0.831606,NA,0
NA,NA,-1.85,0.825581,NA,1
NA,NA,-5.80008,0.844847,NA,0
NA,NA,-4.54,0.805634,NA,1
NA,NA,-2.14,0.782609,NA,1
NA,NA,-4.57,0.783929,NA,1
NA,NA,-8.94011,0.790371,NA,1
NA,NA,-3.77004,0.807353,NA,0
NA,NA,-5,0.800499,NA,1
NA,NA,-7.98011,0.793,NA,0
NA,NA,-3.90002,0.883117,NA,0
NA,NA,-1.57,0.827586,NA,1
NA,NA,-5.07,0.787819,NA,1
NA,NA,-4.83,0.885666,NA,1
NA,NA,-3.06,0.881773,NA,0
NA,NA,-3.96002,0.841202,NA,0
NA,NA,-6.61004,0.863874,NA,1
NA,NA,-1.25,0.846154,NA,1
NA,NA,-1.52,0.849057,NA,1
NA,NA,-6.99004,0.780314,NA,1
NA,NA,-1.92,0.874747,NA,0
NA,NA,-5.74003,0.82127,NA,1
NA,NA,-5.37,0.795918,NA,1
NA,NA,-6.60011,0.833853,NA,0
NA,NA,-4.68007,0.835279,NA,0
NA,NA,-3.48,0.854286,NA,1
NA,NA,-2.53,0.868705,NA,0
NA,NA,-6.01004,0.807629,NA,1
NA,NA,-2.13,0.789474,NA,1
