actualOpType,predOpType,rewards,opPredPerc,foundOpPredPerc,killedByOpPerc
0,0,-4.7,0.269542,0.271468,1
0,0,-4.93,0.307107,0.302083,1
0,0,-3.41,0.306122,0.28483,1
1,0,-4.6,0.311688,0.309955,1
0,0,-1.28,0.310345,0.263158,1
1,0,-1.56,0.385965,0.382979,1
0,0,-3.94,0.328814,0.319298,1
0,0,-1.27,0.321429,0.0555556,1
0,0,-7.98009,0.446,0.451546,0
0,0,-4.9,0.419437,0.430446,1
0,0,-7.93011,0.414062,0.421478,1
1,0,-2.21,0.434426,0.464286,1
2,0,-2.82,0.440141,0.450758,1
0,0,-8.99011,0.458,0.458163,0
0,0,-6.14009,0.540894,0.543405,0
1,0,-0.88,0.533333,0.542857,1
2,0,-1.53,0.425926,0.363636,1
0,0,-1.92,0.548387,0.566265,1
0,0,-3.72,0.657754,0.655367,1
1,0,-2.99,0.551495,0.551601,1
0,0,-8.99013,0.684,0.684694,0
1,0,-8.99011,0.662,0.665306,0
0,0,-10.7201,0.735868,0.736241,1
1,0,-3.27,0.728571,0.733333,0
2,0,-2.88,0.710345,0.711111,1
0,0,-2.71,0.738372,0.734568,1
1,0,-4.55,0.772472,0.774566,1
0,0,-1.39,0.75,0.766667,1
0,0,-1.46,0.787234,0.783784,1
0,0,-1.46,0.765957,0.72973,1
1,0,-2.66,0.768657,0.770161,1
0,0,-4.55,0.750547,0.750572,1
1,0,-3.14,0.743671,0.739865,1
0,0,-4.18,0.761996,0.765784,1
1,0,-3.13,0.75,0.749147,0
0,0,-1.55,0.696429,0.695652,1
1,0,-1.82,0.746988,0.767123,1
0,0,-5.4,0.761993,0.764368,1
0,0,-1.1,0.788732,0.79235,1
1,0,-0.799999,0.79235,0.797386,1
2,0,-1.5,0.745098,0.731707,1
0,0,-1.34,0.771429,0.76,1
1,0,-3.12,0.767516,0.77551,1
0,0,-4.46,0.786885,0.788054,1
0,0,-7.98009,0.831,0.834021,0
0,0,-5,0.766932,0.771784,1
0,0,-2.6,0.770992,0.780992,1
0,0,-2.2,0.77709,0.78157,1
0,0,-1.29,0.733333,0.8,1
1,0,-1.3,0.741935,0.761905,1
0,0,-1.46,0.765957,0.783784,1
1,0,-1.61,0.774194,0.769231,1
0,0,-0.94,0.770833,0.789474,1
1,0,-0.99,0.772277,0.790123,1
0,0,-1.66,0.80597,0.789474,1
1,0,-1.33,0.764706,0.791667,1
