actualOpType,predOpType,rewards,opPredPerc,foundOpPredPerc,killedByOpPerc
NA,NA,-1.68,0.231884,NA,1
NA,NA,-1.56,0.263158,NA,1
NA,NA,-5.11,0.265107,NA,1
NA,NA,-2.47,0.24498,NA,1
NA,NA,-2.48,0.295302,NA,1
NA,NA,-3.56,0.309368,NA,1
NA,NA,-2.97,0.304348,NA,1
NA,NA,-4.39999,0.277778,NA,1
NA,NA,-1.96,0.247423,NA,1
NA,NA,-2.56,0.312102,NA,1
NA,NA,-1.15,0.307339,NA,1
NA,NA,-2.82,0.295082,NA,1
NA,NA,-3.35999,0.307332,NA,1
NA,NA,-1.77,0.358974,NA,1
NA,NA,-3.12,0.340764,NA,1
NA,NA,-2.08,0.33945,NA,1
NA,NA,-3.01,0.331683,NA,1
NA,NA,-6.04002,0.361386,NA,1
NA,NA,-2.81,0.285714,NA,1
NA,NA,-5.11001,0.368873,NA,1
NA,NA,-2.55,0.372549,NA,1
NA,NA,-2.51,0.375,NA,1
NA,NA,-3.97,0.315436,NA,1
NA,NA,-3.43,0.385246,NA,1
NA,NA,-4.06,0.404412,NA,1
NA,NA,-2.13,0.350877,NA,1
NA,NA,-1.61,0.367424,NA,1
NA,NA,-3.49,0.411504,NA,1
NA,NA,-1.81,0.463415,NA,1
NA,NA,-2.1,0.389776,NA,1
NA,NA,-2.43,0.472222,NA,1
NA,NA,-4,0.534884,NA,1
NA,NA,-2.47,0.413655,NA,1
NA,NA,-2.44,0.406897,NA,1
NA,NA,-8.99011,0.396,NA,0
NA,NA,-10.0001,0.455,NA,0
NA,NA,-3.63,0.443182,NA,1
NA,NA,-10.0001,0.448,NA,0
NA,NA,-10.0001,0.407,NA,0
NA,NA,-10.0001,0.459,NA,0
NA,NA,-8.99011,0.422,NA,0
NA,NA,-8.99013,0.482,NA,0
NA,NA,-8.99011,0.41,NA,0
NA,NA,-8.99013,0.516,NA,0
NA,NA,-8.99011,0.496,NA,0
NA,NA,-10.0001,0.586,NA,0
NA,NA,-10.0001,0.565,NA,0
NA,NA,-1.56,0.596491,NA,1
NA,NA,-8.99011,0.47,NA,0
NA,NA,-10.0001,0.574,NA,0
NA,NA,-8.99013,0.563,NA,0
NA,NA,-4.87,0.529652,NA,1
NA,NA,-2.4,0.51312,NA,1
NA,NA,-7.9801,0.436,NA,0
